First,Year,Authors,,,,,,,,,
Antonio,2011,"Antonio, E. G. and Malacco, M. A. F. and Gontijo, C. M. F. and Moreira, E. F. and Caldas, I. S. and Pena, J. L. and Machado-Coelho, G. L. L.",,,,,,,,,
Aragort,2005,"Aragort, W. and Alvarez, M. F. and Leiro, J. L. and Sanmartin, M. L.",,,,,,,,,
Araujo,2016,"Araujo, A. C. and Costa, A. P. and Silva, I. W. G. and Matos, N. N. V. G. and Dantas, A. C. S. and Ferreira, F. and Marcili, A. and Horta, M. C.",,,,,,,,,
Arce-Fonseca,2017,"Arce-Fonseca, M. and Carrillo-Sanchez, S. C. and Molina-Barrios, R. M. and Martinez-Cruz, M. and Cedillo-Cobian, J. R. and Henao-Diaz, Y. A. and Rodriguez-Morales, O.",,,,,,,,,
Arismendi,2016,"Arismendi, N. and Bruna, A. and Zapata, N. and Vargas, M.",,,,,,,,,
Arjona,2017,"Arjona, J. G. and Zaragoza, V. M. and Zaragoza, V. C. and Herrera, R. G. and Sanchez, M. M. and Santamaria, M. E. and Cruz, B. L.",,,,,,,,,
Arjona-Jimenez,2012,"Arjona-Jimenez, G. and Villegas, N. and Lopez-Cespedes, A. and Marin, C. and Longoni, S. S. and Bolio-Gonzalez, M. E. and Rodriguez-Vivas, R. I. and Sauri-Arceo, C. H. and Sanchez-Moreno, M.",,,,,,,,,
Aslantas,2005,"Aslantas, O. and Ozdemir, V. and Kilic, S. and Babur, C.",,,,,,,,,
Astudillo,2013,"Astudillo, V. G. and Hernández, S. M. and Kistler, W. M. and Boone, S. L. and Lipp, E. K. and Shrestha, S. and Yabsley, M. J.",,,,,,,,,
Atarhouch,2003,"Atarhouch, T. and Rami, M. and Bendahman, M. N. and Dakkak, A.",,,,,,,,,
Atasoy,Na,"Atasoy, A. and Pasa, S. and Toz, S. O. and Ertabaklar, H.",,,,,,,,,
Athanasiou,2012,"Athanasiou, L. V. and Kontos, V. I. and Saridomichelakis, M. N. and Rallis, T. S. and Diakou, A.",,,,,,,,,
Attipa,2017,"Attipa, C. and Papasouliotis, K. and Solano-Gallego, L. and Baneth, G. and Nachum-Biala, Y. and Sarvani, E. and Knowles, T. G. and Mengi, S. and Morris, D. and Helps, C. and Tasker, S.",,,,,,,,,
Austen,2015,"Austen, J. M. and O'Dea, M. and Jackson, B. and Ryan, U.",,,,,,,,,
Austen,2011,"Austen, J. M. and Ryan, U. M. and Friend, J. A. and Ditcham, W. G. F. and Reid, S. A.",,,,,,,,,
Averis,2009,"Averis, S. and Thompson, R. C. A. and Lymbery, A. J. and Wayne, A. F. and Morris, K. D. and Smith, A.",,,,,,,,,
Ayllon,2008,"Ayllon, T. and Tesouro, M. A. and Amusategui, I. and Villaescusa, A. and Rodriguez-Franco, F. and Sainz, A. and Sparagano, O. A. E. and Maillard, J. C. and Figueroa, J. V.",,,,,,,,,
Azeem,2019,"Azeem, T. and Tipu, M. Y. and Aslam, A. and Ahmed, S. and Abid, S. A. and Iqbal, A. and Akhtar, N. and Saleem, M. and Mushtaq, A. and Umar, S.",,,,,,,,,
Azizi,2010,"Azizi, K. and Rassi, Y. and Moemenbellah-Fard, M. D.",,,,,,,,,
Azpurua,2010,"Azpurua, J. and De La Cruz, D. and Valderama, A. and Windsor, D.",,,,,,,,,
Babuadze,2014,"Babuadze, G. and Alvar, J. and Argaw, D. and de Koning, H. P. and Iosava, M. and Kekelidze, M. and Tsertsvadze, N. and Tsereteli, D. and Chakhunashvili, G. and Mamatsashvili, T. and Beria, N. and Kal and adze, I. and Ejov, M. and Imnadze, P.",,,,,,,,,
Bacigalupo,2010,"Bacigalupo, A. and Torres-Perez, F. and Segovia, V. and Garcia, A. and Correa, J. P. and Moreno, L. and Arroyo, P. and Cattan, P. E.",,,,,,,,,
Bag,2009,"Bag, S. K. and B and yopadhyay, P. K.",,,,,,,,,
Bajer,2001,"Bajer, A. and Pawelczyk, A. and Behnke, J. M. and Gilbert, F. S. and Sinski, E.",,,,,,,,,
Bakirci,2016,"Bakirci, S. and Bilgic, H. B. and Kose, O. and Aksulu, A. and Hacilarlioglu, S. and Erdogan, H. and Karagenc, T.",,,,,,,,,
Bamorovat,2015,"Bamorovat, M. and Sharifi, I. and Dabiri, S. and Mohammadi, M. A. and Har and i, M. F. and Mohebali, M. and Aflatoonian, M. R. and Keyhani, A.",,,,,,,,,
Bamorovat,2014,"Bamorovat, M. and Sharifi, I. and Mohammadi, M. A. and Har and i, M. F. and Mohebali, M. and Afshar, R. M. and Babaei, Z. and Ziaali, N. and Aflatoonian, M. R.",,,,,,,,,
Bar,2001,"Bar, M. E. and Wisnivesky-Colli, C.",,,,,,,,,
Barbosa,Na,"Barbosa, A. and Austen, J. and Gillett, A. and Warren, K. and Paparini, A. and Irwin, P. and Ryan, U.",,,,,,,,,
Barbosa,2017,"Barbosa, A. and Reiss, A. and Jackson, B. and Warren, K. and Paparini, A. and Gillespie, G. and Stokeld, D. and Irwin, P. and Ryan, U.",,,,,,,,,
Barbosa,2017,"Barbosa, A. D. and Gofton, A. W. and Paparini, A. and Codello, A. and Greay, T. and Gillett, A. and Warren, K. and Irwin, P. and Ryan, U.",,,,,,,,,
Barbosa-Silva,2019,"Barbosa-Silva, A. N. and de Souza, R. D. M. and Diotaiuti, L. and Aguiar, L. M. A. and da Camara, A. C. J. and Galvao, L. M. D. and Chiari, E.",,,,,,,,,
Barnard,2010,"Barnard, W. H. and Mettke-Hofmann, C. and Matsuoka, S. M.",,,,,,,,,
Barroso,2015,"Barroso, P. A. and Marco, J. D. and Locatelli, F. M. and Cardozo, R. M. and Hoyos, C. L. and Mora, M. C. and Bustos, M. F. G. and Lopez-Quiroga, I. and Mimori, T. and Gentile, A. G. and Barrio, A. B. and Korenaga, M. and Hashiguchi, Y. and Basombrio, M. A.",,,,,,,,,
Bashe,2010,"Bashe, S. K. R. and Abdullah, S. M. A.",,,,,,,,,
Baticados,2011,"Baticados, W. N. and Fern and ez, C. P. and Baticados, A. M.",,,,,,,,,
Batista,2007,"Batista, J. S. and Riet-Correa, F. and Teixeira, M. M. G. and Madruga, C. R. and Simoes, S. D. V. and Maia, T. F.",,,,,,,,,
Batista,2012,"Batista, J. S. and Rodrigues, C. M. F. and Olinda, R. G. and Silva, T. M. F. and Vale, R. G. and Camara, A. C. L. and Reboucas, R. E. S. and Bezerra, F. S. B. and Garcia, H. A. and Teixeira, M. M. G.",,,,,,,,,
Batistoti,2001,"Batistoti, M. and Cavazzana, M. and Serrano, M. G. and Ogatta, S. F. and Baccan, G. C. and Jankevicius, J. V. and Teixeira, M. M. G. and Jankevicius, S. T.",,,,,,,,,
Bears,2004,"Bears, H.",,,,,,,,,
Bekele,2011,"Bekele, M. and Nasir, M.",,,,,,,,,
Belo,2017,"Belo, V. S. and Gregorio, E. A. and Teixeira-Neto, R. G. and Lima, Acvmd and Pereira, A. A. S. and Marcelino, A. P. and Paz, G. F. and da Silva, E. S.",,,,,,,,,
Ben Othman,2018,"Ben Othman, S. and Ghawar, W. and Chaouch, M. and Ayari, C. and Chemkhi, J. and Cancino-Faure, B. and Tomas-Perez, M. and Alcover, M. M. and Riera, C. and Ben Salah, A. and Fisa, R. and Ben Ismail, R. and Ben Abderrazak, S.",,,,,,,,,
Benabid,2017,"Benabid, M. and Ghrab, J. and Rhim, A. and Ben-Romdhane, R. and Aoun, K. and Bouratbine, A.",,,,,,,,,
Benassi,2017,"Benassi, J. C. and Benvenga, G. U. and Ferreira, H. L. and Pereira, V. F. and Keid, L. B. and Soares, R. and Oliveira, Tmfd",,,,,,,,,
Bento,2018,"Bento, E. C. and Gomez-Hern and ez, C. and Batista, L. R. and Anversa, L. and Pedrosa, A. L. and Lages-Silva, E. and Ramirez, J. D. and Ramirez, L. E.",,,,,,,,,
Berger,2014,"Berger, R. and Wasserberg, G. and Warburg, A. and Orshan, L. and Kotler, B. P.",,,,,,,,,
Berlin,2012,"Berlin, D. and Nasereddin, A. and Azmi, K. and Ereqat, S. and Abdeen, Z. and Eyal, O. and Baneth, G.",,,,,,,,,
Bernal,2016,"Bernal, X. E. and Pinto, C. M.",,,,,,,,,
Berzunza-Cruz,2015,"Berzunza-Cruz, M. and Rodriguez-Moreno, A. and Gutierrez-Granados, G. and Gonzalez-Salazar, C. and Stephens, C. R. and Hidalgo-Mihart, M. and Marina, C. F. and Rebollar-Tellez, E. A. and Bailon-Martinez, D. and Balcells, C. D. and Ibarra-Cerdena, C. N. and Sanchez-Cordero, V. and Becker, I.",,,,,,,,,
Bett,2008,"Bett, B. and Irungu, P. and Nyamwaro, S. O. and Murilla, G. and Kitala, P. and Gathuma, J. and R and olph, T. F. and McDermott, J.",,,,,,,,,
