studies,country,Dignostic_method,Tryp_type,Year,study ID
"Canine Visceral Leishmaniasis; A Seroepidemiological Survey in Jiroft District, Southern Kerman Province, Southeastern Iran in 2015", Iran ," direct agglutination test', 'DAT "," Leishmania infantum', 'Leishmania ",2018,"(Abbaszadeh Afshar et al., 2018)"
"Epidemiology of visceral leishmaniasis in the Jenin district, West Bank: 1989-1998", NA ," enzyme-linked immunosorbent assay', 'polymerase chain reaction "," Leishmania infantum', 'Leishmania ",2002,"(Abdeen et al., 2002)"
"Bovine trypanosomosis and vector density in Omo-Ghibe tsetse belt, South Ethiopia", Ethiopia ," buffy coat ', 'smears', 'Giemsa-stained "," T. brucei brucei', 'T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma congolense', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2017,"(Abebe et al., 2017)"
A cross-sectional study of trypanosomosis and its vectors in donkeys and mules in Northwest Ethiopia, Ethiopia ," buffy coat ', 'smears', 'Giemsa-stained "," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2010,"(Abebe & Wolde, 2010)"
IDENTIFICATION OF CANINE VISCERAL LEISHMANIASIS IN A PREVIOUSLY UNAFFECTED AREA BY CONVENTIONAL DIAGNOSTIC TECHNIQUES AND CELL-BLOCK FIXATION, NA ," enzyme-linked immunosorbent assay', 'ELISA', 'IFA', 'parasitological culture', 'DPP', 'chromatographic immunoassay "," Leishmania infantum', 'Leishmania ",2016,"(Abrantes et al., 2016)"
"Environmental factors associated with canine visceral leishmaniasis in an area with recent introduction of the disease in the State of Rio de Janeiro, Brazil", Brazil ," immunoenzymatic assay', 'IEA', 'rapid immunochromatographic assay', 'dual path platform', 'DPP "," Leishmania infantum', 'Leishmania ",2018,"(Abrantes et al., 2018)"
Trypanosome infections in cattle in farms of different departments in Cote d'Ivoire, NA , NA ," T. brucei', 'T. congolense', 'Trypanosoma vivax', 'Trypanosoma ",2016,"(Acapovi-Yao et al., 2016)"
Hosts and vectors of Trypanosoma cruzi discrete typing units in the Chagas disease endemic region of the Paraguayan Chaco," Bolivia', 'Paraguay "," microscopic', 'discrete typing units', 'DTUs "," T. cruzi', 'Trypanosoma ",2017,"(Acosta et al., 2017)"
"Bovine trypanosomosis in the Upper West Region of Ghana: Entomological, parasitological and serological cross-sectional surveys", Ghana , ELISA ," Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2012,"(Adam et al., 2012)"
"The identification, diversity and prevalence of trypanosomes in field caught tsetse in Tanzania using ITS-1 primers and fluorescent fragment length barcoding", Tanzania , PCR ,NA,2008,"(Adams et al., 2008)"
Estimation of Canine Leishmania Infection Prevalence in Six Cities of the Algerian Littoral Zone Using a Bayesian Approach, Algeria ," direct agglutination test', 'DAT', 'indirect fluorescent antibody test', 'IFAT', 'IFA ",Leishmania,2015,"(Adel et al., 2015)"
Canine leishmaniasis in Algeria: True prevalence and diagnostic test characteristics in groups of dogs of different functional type, Algeria ," direct agglutination test', 'indirect fluorescent antibody test', 'IFAT', 'particle gel immuno-assay', 'PaGIA', 'IFA ",NA,2010,"(Adel et al., 2010)"
Low Seroprevalence of Leishmania infantum and Toxoplasma gondii in the Horse Population in Israel, Israel ," direct agglutination test', 'DAT', 'modified agglutination test', 'MAT "," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Aharonson-Raz et al., 2015)"
, NA , NA ,NA,2015,"(Aisien et al., 2015)"
Blood parasites of some Anurans from southern Nigeria," Niger', 'Nigeria ", NA ,Trypanosoma,2015,"(Ajaoud et al., 2015)"
"Phlebotomus sergenti in a Cutaneous Leishmaniasis Focus in Azilal Province (High Atlas, Morocco): Molecular Detection and Genotyping of Leishmania tropica, and Feeding Behavior", Morocco ," PCR-RFLP', 'ITS1-PCR-RFLP', 'PCR-RFLP,', 'PCR', 'ITS1', 'ITS2 "," Leishmania tropica', 'Leishmania ",2010,"(Akhavan et al., 2010)"
Molecular Epizootiology of Rodent Leishmaniasis in a Hyperendemic Area of Iran, Iran ," PCR-RFLP', 'PCR-RFLP.', 'nested PCR', 'PCR "," L. major', 'Leishmania major', 'L. turanica', 'Leishmania ",2013,"(Akhoundi et al., 2013)"
Molecular Characterization of Leishmania Infection from Naturally Infected Sand Flies Caught in a Focus of Cutaneous Leishmaniasis (Eastern Iran), Iran ," PCR', 'ITS2 "," L. tropica', 'L. major', 'Leishmania major', 'Leishmania ",2013,"(Akhoundi et al., 2013)"
Molecular characterization of Leishmania spp. in reservoir hosts in endemic foci of zoonotic cutaneous leishmaniasis in Iran, Iran ," smears', 'PCR', 'Giemsa-stained', 'ITS1 "," Leishmania spp.', 'L. major', 'Leishmania major', 'L. turanica', 'Leishmania ",2017,"(Akhtardanesh et al., 2017)"
"Feline visceral leishmaniasis in Kerman, southeast of Iran: Serological and molecular study"," Azerbaijan', 'Iran "," enzyme-linked immunosorbent assay', 'ELISA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2008,"(Akinpelu, 2008)"
"Prevalence and Intensity of Blood Parasites in Wild Pigeons and Doves (Family: Columbidae) from Shasha Forest Reserve, Ile-Ife, Nigeria"," Niger', 'Nigeria ", smears ,Trypanosoma,2016,"(Akter et al., 2016)"
Molecular and Serological Evidence of Leishmania Infection in Stray Dogs from Visceral Leishmaniasis-Endemic Areas of Bangladesh," Bangladesh', 'India "," buffy coat ', 'polymerase chain reaction', 'PCR "," Leishmania infantum', 'Leishmania ",2018,"(Alanazi, 2018)"
"PARASITOLOGICAL AND MOLECULAR DETECTION OF CANINE TRYPANOSOMIASIS FROM RIYADH PROVINCE, SAUDI ARABIA", Saudi Arabia ," blood film', 'polymerase chain reaction', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2019,"(Alanazi et al., 2019)"
Molecular Detection of Leishmania spp. in Skin and Blood of Stray Dogs from Endemic Areas of Cutaneous Leishmaniasis in Saudi Arabia, Saudi Arabia ," cultures', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'L. tropica', 'L. major', 'Leishmania ",2018,"(Alanazi et al., 2018)"
Molecular detection of equine trypanosomiasis in the Riyadh Province of Saudi Arabia, Saudi Arabia ," PCR', 'ITS1 "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2019,"(Alarabi et al., 2019)"
Molecular detection of Trypanosoma evansi in camels (Camelus dromedarius) in southwestern Saudi Arabia, Saudi Arabia ," blood film', 'polymerase chain reaction', 'PCR', 'Giemsa-stained "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2017,"(Albuquerque et al., 2017)"
Evaluation of four molecular methods to detect Leishmania infection in dogs," Brazil', 'Portugal "," PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Aleman et al., 2017)"
"The Prevalence of Trypanosoma cruzi, the Causal Agent of Chagas Disease, in Texas Rodent Populations", NA ," qPCR', 'PCR "," T. cruzi', 'Trypanosoma ",2016,"(Alho et al., 2016)"
Seroprevalence of vector-borne pathogens and molecular detection of Borrelia afzelii in military dogs from Portugal, Portugal , polymerase chain reaction ," Leishmania infantum', 'L. infantum', 'Leishmania ",2014,"(Alias et al., 2014)"
Epidemiology of blood parasitic infections in the urban rat population in peninsular Malaysia, Malaysia , NA ,Trypanosoma,2016,"(Almeida et al., 2016)"
"Molecular Individual-Based Approach on Triatoma brasiliensis: Inferences on Triatomine Foci, Trypanosoma cruzi Natural Infection Prevalence, Parasite Diversity and Feeding Sources", Brazil , NA ," T. cruzi', 'Trypanosoma ",2015,"(Alroy et al., 2015)"
Prevalence and Transmission of Trypanosoma cruzi in People of Rural Communities of the High Jungle of Northern Peru, Peru , NA ," T. cruzi', 'Trypanosoma ",2016,"(Alvasen et al., 2016)"
"A field survey on parasites and antibodies against selected pathogens in owned dogs in Lilongwe, Malawi", Malawi , NA ," Leishmania spp.', 'Leishmania ",2017,"(Alves et al., 2017)"
Comparison of three methods for diagnosis of Trypanosoma (Duttonella) vivax in cattle, Brazil ," IFAT', 'IFA', 'polymerase chain reaction', 'PCR', 'MHCT "," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2011,"(Amer et al., 2011)"
"Molecular identification and phylogenetic analysis of Trypanosoma evansi from dromedary camels (Camelus dromedarius) in Egypt, a pilot study", Egypt ," PCR', 'ITS1', 'ITS2 "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2019,"(Amiri Ghannat Saman et al., 2019)"
"Biodiversity, Leishmania genetic typing and host identification of phlebotomine species in endemic foci of southeastern Iran", Iran ," PCR-RFLP', 'PCR-RFLP ', 'PCR', 'ITS1 "," Leishmania major', 'Leishmania ",2004,"(Amusategui et al., 2004)"
"Seroprevalence of Leishmania infantum in northwestern Spain, an area traditionally considered free of leishmaniasis", Spain , IFA ," Leishmania infantum', 'L. infantum', 'Leishmania ",Na,"(Anderson et al., Na)"
Seasonality and prevalence of Leishmania major infection in Phlebotomus duboscqi neveu-lemaire from two neighboring villages in Central Mali, Mali , PCR ," L. major', 'Leishmania major', 'Leishmania ",2015,"(Angwech et al., 2015)"
"Heterogeneity in the prevalence and intensity of bovine trypanosomiasis in the districts of Amuru and Nwoya, Northern Uganda", Uganda , PCR ," T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2011,"(Antonio et al., 2011)"
"Canine visceral leishmaniasis in the Krenak indigenous community, Resplendor, Minas Gerais State, Brazil, 2007", Brazil , ELISA ,Leishmania,2005,"(Aragort et al., 2005)"
Blood protozoans in elasmobranchs of the family Rajidae from Galicia (NW Spain), Spain , smears ,Trypanosoma,2016,"(Araujo et al., 2016)"
"Epidemiological aspects and risk factors for infection by Leishmania infantum chagasi in dogs from municipality of Petrolina, Northeastern Brazil", Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'IFAT', 'IFA "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2017,"(Arce-Fonseca et al., 2017)"
"Seropositivity for Trypanosoma cruzi in domestic dogs from Sonora, Mexico", Mexico ," enzyme-linked immunosorbent assay', 'ELISA "," T. cruzi', 'Trypanosoma ",2016,"(Arismendi et al., 2016)"
PCR-specific detection of recently described Lotmaria passim (Trypanosomatidae) in Chilean apiaries, Chile , PCR ," Lotmaria passim', 'L. passim', 'Trypanosoma ",2017,"(Arjona et al., 2017)"
"Antibodies of Trypanosoma cruzi, Leishmania mexicana and Leishmania braziliensis in domiciled dogs in Tabasco, Mexico", Mexico , ELISA ," L. mexicana', 'T. cruzi', 'Leishmania', 'Trypanosoma ",2012,"(Arjona-Jimenez et al., 2012)"
"Prevalence of antibodies against three species of Leishmania (L. mexicana, L. braziliensis, L. infantum) and possible associated factors in dogs from Merida, Yucatan, Mexico", Mexico ," enzyme-linked immunosorbent assay', 'ELISA', 'superoxide dismutase-enzyme-linked immunosorbent assay', 'SOD-ELISA "," L. infantum', 'Leishmania spp.', 'L. mexicana', 'Leishmania ",2005,"(Aslantas et al., 2005)"
"Seroepidemiology of leptospirosis, toxoplasmosis, and leishmaniosis among dogs in Ankara, Turkey", Turkey ," microscopic', 'IFAT', 'MAT', 'Sabin-Feldman dye test', 'SFDT', 'IFA "," Leishmania infantum', 'L. infantum', 'Leishmania ",2013,"(Astudillo et al., 2013)"
"Spatial, temporal, molecular, and intraspecific differences of haemoparasite infection and relevant selected physiological parameters of wild birds in Georgia, USA", Georgia , NA ,Trypanosoma,2003,"(Atarhouch et al., 2003)"
Camel trypanosomosis in Morocco 1: results of a first epidemiological survey, Morocco ," ELISA', 'card agglutination test ', 'CATT "," Trypanosoma evansi', 'Trypanosoma ",Na,"(Atasoy et al., Na)"
Seroprevalence of Canine Visceral Leishmaniasis Around the Aegean Cost of Turkey, Turkey , NA ,Leishmania,2012,"(Athanasiou et al., 2012)"
A cross-sectional sero-epidemiological study of canine leishmaniasis in Greek mainland, Greece ," ELISA', 'IFAT', 'IFA "," L. infantum', 'Leishmania spp.', 'Leishmania ",2017,"(Attipa et al., 2017)"
"Prevalence study and risk factor analysis of selected bacterial, protozoal and viral, including vector-borne, pathogens in cats from Cyprus", Cyprus ," qPCR', 'polymerase chain reaction', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2015,"(Austen et al., 2015)"
High prevalence of Trypanosoma vegrandis in bats from Western Australia, Australia , PCR ,Trypanosoma,2011,"(Austen et al., 2011)"
Vector of Trypanosoma copemani identified as Ixodes sp, NA , PCR ,Trypanosoma,2009,"(Averis et al., 2009)"
"The diversity, distribution and host-parasite associations of trypanosomes in Western Australian wildlife", Australia , NA ,Trypanosoma,2008,"(Ayllon et al., 2008)"
Serologic and Molecular Evaluation of Leishmania infantum in Cats from Central Spain, Spain ," IFA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2019,"(Azeem et al., 2019)"
Hematobiochemical Disorder in Camels Suffering from different Hemoparasites, NA , NA ,Trypanosoma,2010,"(Azizi et al., 2010)"
PCR-based detection of Leishmania major kDNA within naturally infected Phlebotomus papatasi in southern Iran, Iran ," microscopic', 'polymerase chain reaction', 'PCR "," Leishmania major', 'Leishmania ",2010,"(Azpurua et al., 2010)"
"Lutzomyia Sand Fly Diversity and Rates of Infection by Wolbachia and an Exotic Leishmania Species on Barro Colorado Island, Panama", Panama , NA ,Leishmania,2014,"(Babuadze et al., 2014)"
Epidemiology of Visceral Leishmaniasis in Georgia, Georgia , NA ,Leishmania,2010,"(Bacigalupo et al., 2010)"
Sylvatic foci of the Chagas disease vector Triatoma infestans in Chile: description of a new focus and challenges for control programs, Chile , NA ," T. cruzi', 'Trypanosoma ",2009,"(Bag et al., 2009)"
"Prevalence of trypanosomes from Clarius batrachus (Linnaeus) of Purba Medinipur, West Bengal, India", India , NA ,Trypanosoma,2001,"(Bajer et al., 2001)"
Factors affecting the component community structure of haemoparasites in bank voles (Clethrionomys glareolus) from the Mazury Lake District region of Poland, Poland , NA ,Trypanosoma,2016,"(Bakirci et al., 2016)"
"Molecular and seroprevalence of canine visceral leishmaniasis in West Anatolia, Turkey", Turkey ," IFAT', 'IFA', 'polymerase chain reaction', 'PCR "," L. infantum', 'Leishmania spp.', 'Leishmania ",2015,"(Bamorovat et al., 2015)"
Leishmania tropica in Stray Dogs in Southeast Iran, Iran , PCR ," L. infantum', 'L. tropica', 'Leishmania tropica', 'Leishmania ",2014,"(Bamorovat et al., 2014)"
"Canine Visceral Leishmaniasis in Kerman, Southeast of Iran: A Seroepidemiological, Histopathological and Molecular Study", Iran ," direct agglutination test', 'DAT', 'microscopic', 'PCR "," Leishmania infantum', 'L. infantum', 'L. tropica', 'Leishmania ",2001,"(Bar & Wisnivesky-Colli, 2001)"
"Triatoma sordida Stal 1859 (Hemiptera, Reduviidae : Triatominae) in palms of northeastern Argentina"," Argentina', 'Brazil', 'Uruguay "," microscopic', 'PCR "," T. cruzi', 'Trypanosoma ",Na,"(Barbosa et al., Na)"
First Report of Trypanosoma Vegrandis in Koalas (Phascolarctos Cinereus), Ireland , NA ,Trypanosoma,2017,"(Barbosa et al., 2017)"
"Prevalence, genetic diversity and potential clinical impact of blood-borne and enteric protozoan parasites in native mammals from northern Australia", Australia , PCR ,Trypanosoma,2017,"(Barbosa et al., 2017)"
Increased genetic diversity and prevalence of co-infection with Trypanosoma spp. in koalas (Phascolarctos cinereus) and their ticks identified using next-generation sequencing (NGS), NA , NA ,Trypanosoma,2019,"(Barbosa-Silva et al., 2019)"
"Synanthropic triatomines (Hemiptera: Reduviidae): infestation, colonization, and natural infection by trypanosomatids in the State of Rio Grande do Norte, Brazil", Brazil , NA ,T. cruzi,2010,"(Barnard et al., 2010)"
PREVALENCE OF HEMATOZOA INFECTIONS AMONG BREEDING AND WINTERING RUSTY BLACKBIRDS, NA , MAT ,Trypanosoma,2015,"(Barroso et al., 2015)"
"Visceral Leishmaniasis Caused by Leishmania infantum in Salta, Argentina: Possible Reservoirs and Vectors", Argentina , PCR ," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2010,"(Bashe & Abdullah, 2010)"
Parasitic fauna of spiny eel Mastacembelus mastacembelus from Greater Zab river in Iraq, Iraq , NA ,Trypanosoma,2011,"(Baticados et al., 2011)"
"Molecular detection of Trypanosoma evansi in cattle from Quirino Province, Philippines", Philippines ," polymerase chain reaction', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2007,"(Batista et al., 2007)"
Trypanosomiasis by Trypanosoma vivax in cattle in the Brazilian semiarid: Description of an outbreak and lesions in the nervous system, Brazil , NA ," Trypanosoma vivax', 'Trypanosoma ",2012,"(Batista et al., 2012)"
"Highly debilitating natural Trypanosoma vivax infections in Brazilian calves: epidemiology, pathology, and probable transplacental transmission", Brazil , NA ," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2001,"(Batistoti et al., 2001)"
"Genetic variability of trypanosomatids isolated from phytophagous Hemiptera defined by morphological, biochemical, and molecular taxonomic markers", NA , NA ,NA,2004,"(Bears, 2004)"
"Parasite prevalence in Dark-eyed Juncos, Junco hyemalis, breeding at different elevations", NA , NA ,Trypanosoma,2011,"(Bekele & Nasir, 2011)"
"Prevalence and host related risk factors of bovine trypanosomosis in Hawagelan district, West Wellega zone, Western Ethiopia", Ethiopia , NA ," Trypanosoma congolense', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2017,"(Belo et al., 2017)"
Reliability of techniques used in the diagnosis of canine visceral leishmaniasis by the national control program in Brazil: A survey in an area of recent transmission, Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'DPP "," Leishmania infantum', 'Leishmania ",2018,"(Ben Othman et al., 2018)"
First detection of Leishmania DNA in Psammomys obesus and Psammomys vexillaris: Their potential involvement in the epidemiology of leishmaniasis in Tunisia, Tunisia , PCR ," L. infantum', 'L. tropica', 'L. major', 'Leishmania ",2017,"(Benabid et al., 2017)"
"Temporal dynamics and Leishmania infantum infection prevalence of Phlebotomus perniciosus (Diptera, Phlebotominae) in highly endemic areas of visceral leishmaniasis in Tunisia", Tunisia , PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Benassi et al., 2017)"
Detection of Leishmania infantum DNA in conjunctival swabs of cats by quantitative real-time PCR," Brazil', 'Italy "," qPCR', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2018,"(Bento et al., 2018)"
"Identification of bat trypanosomes from Minas Gerais state, Brazil, based on 18S rDNA and Cathepsin-L-like targets", Brazil , PCR ," T. cruzi', 'Trypanosoma ",2014,"(Berger et al., 2014)"
"Zoonotic Disease in a Peripheral Population: Persistence and Transmission of Leishmania major in a Putative Sink-Source System in the Negev Highlands, Israel", Israel , NA ," L. major', 'Leishmania major', 'Leishmania ",2012,"(Berlin et al., 2012)"
Prevalence of Trypanosoma evansi in horses in Israel evaluated by serology and reverse dot blot, Israel ," CATT', 'microscopy', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2016,"(Bernal & Pinto, 2016)"
Sexual differences in prevalence of a new species of trypanosome infecting tungara frogs, Australia , NA ,Trypanosoma,2015,"(Berzunza-Cruz et al., 2015)"
Leishmania (L.) mexicana Infected Bats in Mexico: Novel Potential Reservoirs, Mexico , PCR ,Leishmania,2008,"(Bett et al., 2008)"
Estimation of tsetse challenge and its relationship with trypanosomosis incidence in cattle kept under pastoral production systems in Kenya, Kenya ," buffy coat ', 'enzyme-linked immunosorbent assay', 'ELISA', 'microscopy ",NA,2014,"(Bettaieb et al., 2014)"
Prevalence and determinants of Leishmania major infection in emerging and old foci in Tunisia, Tunisia , NA ," L. major', 'Leishmania major', 'Leishmania ",2018,"(Bezerra et al., 2018)"
"Triatoma brasiliensis Neiva, 1911: food sources and diversity of Trypanosoma cruzi in wild and artificial environments of the semiarid region of Ceara, northeastern Brazil", Brazil , NA ," T. cruzi', 'Trypanosoma ",2014,"(Bezerra et al., 2014)"
"Domestic, peridomestic and wild hosts in the transmission of Trypanosoma cruzi in the Caatinga area colonised by Triatoma brasiliensis", Brazil , polymerase chain reaction ," T. cruzi', 'Trypanosoma ",2009,"(Bhattarai et al., 2009)"
Natural infection of Phlebotomus argentipes with Leishmania and other trypanosomatids in a visceral leishmaniasis endemic region of Nepal," India', 'Nepal ", PCR ," Leishmania spp.', 'Leishmania ",2010,"(Bhattarai et al., 2010)"
"Domestic Animals and Epidemiology of Visceral Leishmaniasis, Nepal"," India', 'Nepal ", PCR ," Leishmania spp.', 'Leishmania ",2010,"(Bhutto et al., 2010)"
"Field Investigation on the Prevalence of Trypanosomiasis in Camels in Relation to Sex, Age, Breed and Herd Size", NA , NA ," Trypanosoma evansi', 'Trypanosoma ",2012,"(Bigeli et al., 2012)"
"Diagnosis of Leishmania (Leishmania) chagasi infection in dogs and the relationship with environmental and sanitary aspects in the municipality of Palmas, state of Tocantins, Brazil", Brazil , PCR ,Leishmania,2015,"(Bilgin et al., 2015)"
"Prevalence of leishmaniosis in dogs in Istanbul, Turkey determined by using PCR", Turkey , PCR ," Leishmania infantum', 'Leishmania ",2015,"(Birhanu et al., 2015)"
"Epidemiology of Trypanosoma evansi and Trypanosoma vivax in domestic animals from selected districts of Tigray and Afar regions, Northern Ethiopia", Ethiopia ," buffy coat ', 'CATT', 'PCR', 'CATT/T.evansi', 'RoTat 1.2 immune trypanolysis', 'microhaematocrit centrifugation technique "," T. evansi', 'T. vivax', 'Trypanosoma evansi', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2013,"(Biryomumaisho et al., 2013)"
"Livestock trypanosomosis in Uganda: parasite heterogeneity and anaemia status of naturally infected cattle, goats and pigs", Uganda ," buffy coat ', 'polymerase chain reaction', 'BCT', 'ITS1 "," T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2018,"(Biswas et al., 2018)"
"Cost-Effective Analysis of Control Strategies to Reduce the Prevalence of Cutaneous Leishmaniasis, Based on a Mathematical Model", NA , NA ,Leishmania,2011,"(Bitew et al., 2011)"
"Prevalence of bovine trypanosomosis in selected areas of Jabi Tehenan district, West Gojam of Amhara regional state, Northwestern Ethiopia", Ethiopia , buffy coat  ," Trypanosoma congolense', 'Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2013,"(Bizhga et al., 2013)"
Survey for Canine Leishmaniosis, Albania , ELISA ," Leishmania infantum', 'Leishmania ",2016,"(Bolukbas et al., 2016)"
Evidence of Leishmania spp. antibodies and DNA in dogs in the Middle Black Sea Region of Turkey, Turkey ," ELISA', 'microscopic', 'PCR "," Leishmania spp.', 'Leishmania ",2011,"(Bonfante-Cabarcas et al., 2011)"
Seroprevalence for Trypanosoma cruzi infection and associated factors in an endemic area of Venezuela, Venezuela , ELISA ,Trypanosoma,2014,"(Borges et al., 2014)"
"Prevalence and spatial distribution of visceral leishmaniasis in dogs Juatuba, Minas Gerais, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'ELISA ",NA,Na,"(Borghesan et al., Na)"
"Genetic diversity and phylogenetic relationships of coevolving symbiont-harboring insect trypanosomatids, and their neotropical dispersal by invader African blowflies (Calliphoridae)", NA , NA ,NA,2009,"(Borji et al., 2009)"
EPIDEMIOLOGICAL STUDY ON HAEMOPARASITES OF DROMEDARY (Camelus dromedarius) IN IRAN, Iran , NA ," Trypanosoma evansi', 'Trypanosoma ",2013,"(Botero et al., 2013)"
"Trypanosomes genetic diversity, polyparasitism and the population decline of the critically endangered Australian marsupial, the brush tailed bettong or woylie (Bettongia penicillata)", Australia , NA ,NA,2012,"(Botto-Mahan et al., 2012)"
Field assessment of Trypanosoma cruzi infection and host survival in the native rodent Octodon degus, Chile , PCR ," T. cruzi', 'Trypanosoma ",2015,"(Botto-Mahan et al., 2015)"
Temporal variation in Trypanosoma cruzi lineages from the native rodent Octodon degus in semiarid Chile, Chile ," DTUs', 'PCR "," T. cruzi', 'Trypanosoma ",2019,"(Boushaki et al., 2019)"
Epidemiological investigations on Trypanosoma evansi infection in dromedary camels in the South of Algeria, Algeria ," ELISA', 'CATT', 'PCR', 'Giemsa stained "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2005,"(Bovone et al., 2005)"
Anti-nucleus antibodies detection by line immunoassay. Correlation with indirect immunofluorescence, NA , ELISA ,NA,2000,"(Bradley et al., 2000)"
Prevalence of American trypanosomiasis (Chagas disease) among dogs in Oklahoma, NA ," polymerase chain reaction', 'PCR ",Trypanosoma,2014,"(Braga et al., 2014)"
Coinfection by Toxoplasma gondii and Leishmania spp. in domestic cats (Felis catus) in State of Mato Grosso do Sul, Brazil , modified agglutination test ," Leishmania spp.', 'Leishmania ",2018,"(Brasil et al., 2018)"
"Prevalence and risk factors associated with Leishmania spp. and Trypanosoma cruzi infections in dogs presented at veterinary clinics in Joao Pessoa, Paraiba state, northeastern Brazil", Brazil ," ELISA', 'indirect fluorescent antibody test "," Leishmania spp.', 'T. cruzi', 'Leishmania', 'Trypanosoma ",2016,"(Bravo-Barriga et al., 2016)"
Detection of Leishmania DNA and blood meal sources in phlebotomine sand flies (Diptera: Psychodidae) in western of Spain: Update on distribution and risk factors associated, Spain , PCR ," Leishmania infantum', 'Leishmania ",2007,"(Bray et al., 2007)"
Haemoparasites of common shrews (Sorex araneus) in Northwest England, Sweden , NA ,Trypanosoma,2012,"(Breniere et al., 2012)"
Genetic Characterization of Trypanosoma cruzi DTUs in Wild Triatoma infestans from Bolivia: Predominance of TcI, Bolivia ," microscopic', 'discrete typing units', 'DTUs', 'microscopy', 'PCR "," T. cruzi', 'Trypanosoma ",2010,"(Brigada et al., 2010)"
"American tripanosomiasis: a study on the prevalence of Trypanosoma cruzi and Trypanosoma cruzi-like organisms in wild rodents in San Luis province, Argentina", Argentina ," cultures', 'PCR ",Trypanosoma,2016,"(Brito et al., 2016)"
Canine visceral leishmaniasis in the Northeast Region of Brazil, Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'IFAT', 'IFA', 'polymerase chain reaction', 'PCR "," Leishmania spp.', 'Leishmania ",2010,"(Brown et al., 2010)"
Seroprevalence of Trypanosoma cruzi Among Eleven Potential Reservoir Species from Six States Across the Southern United States, Georgia , NA ," T. cruzi', 'Trypanosoma ",2015,"(Bsrat et al., 2015)"
"Epidemiological study of cutaneous leishmaniasis in Saesie Tsaeda-emba district, eastern Tigray, northern Ethiopia", Ethiopia ," PCR-RFLP', 'PCR-RFLP)', 'PCR "," L. aethiopica', 'Leishmania ",2016,"(Buechel & Schmid-Hempel, 2016)"
Colony pace: a life-history trait affecting social insect epidemiology, NA , NA ,Crithidia bombi,2018,"(Buendia et al., 2018)"
Epidemiological study of honeybee pathogens in Europe: The results of Castilla-La Mancha (Spain), Spain , NA ," Crithidia mellificae', 'Lotmaria passim', 'Trypanosoma ",2015,"(Buhaya et al., 2015)"
Incidence of Trypanosoma cruzi infection in triatomines collected at Indio Mountains Research Station, NA , NA ," T. cruzi', 'Trypanosoma ",2014,"(Bustamante et al., 2014)"
"Ecological, Social and Biological Risk Factors for Continued Trypanosoma cruzi Transmission by Triatoma dimidiata in Guatemala", Guatemala , NA ," T. cruzi', 'Trypanosoma ",2012,"(Cadioli et al., 2012)"
"First report of Trypanosoma vivax outbreak in dairy cattle in Sao Paulo state, Brazil", Brazil ," ELISA', 'smears', 'PCR "," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2019,"(Cai et al., 2019)"
"First report of the prevalence and genotype of Trypanosoma spp. in bats in Yunnan Province, Southwestern China", China , NA ,Trypanosoma,2015,"(Caldart et al., 2015)"
