studies,country,Dignostic_method,Tryp_type,Year,study ID
"Prevalence study on Trypanosoma vivax in dairy cattle in the Western region on the State of Parana, Brazil"," Argentina', 'Brazil', 'Paraguay "," buffy coat ', 'smears "," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2018,"(Sobia et al., 2018)"
Prevalence and characterization of Trypanosoma species from livestock of Cholistan desert of Pakistan, Pakistan ," microscopy', 'PCR "," Trypanosoma evansi', 'Trypanosoma ",2008,"(Sobrino et al., 2008)"
Characterization of widespread canine leishmaniasis among wild carnivores from Spain," Egypt', 'Spain "," PCR-RFLP', 'PCR-RFLP ', 'western blot', 'western blotting', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",1999,"(Solano et al., 1999)"
Polymerase chain reaction as a diagnosis tool for detecting trypanosomes in naturally infected cattle in Burkina Faso, Burkina Faso ," microscopy', 'PCR "," T. brucei', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma ",2006,"(Solano-Gallego et al., 2006)"
A serological study of exposure to arthropod-borne pathogens in dogs from northeastern Spain, Spain , IFA ," Leishmania infantum', 'Leishmania ",2001,"(Solano-Gallego et al., 2001)"
Prevalence of Leishmania infantum infection in dogs living in an area of canine leishmaniasis endemicity using PCR on several tissues and serology, Spain , PCR ," Leishmania infantum', 'Leishmania ",2012,"(Solano-Gallego et al., 2012)"
Detection of Leishmania infantum DNA mainly in Rhipicephalus sanguineus male ticks removed from dogs living in endemic areas of canine leishmaniosis, NA ," ELISA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2014,"(Solca et al., 2014)"
Evaluating the Accuracy of Molecular Diagnostic Testing for Canine Visceral Leishmaniasis Using Latent Class Analysis, NA ," qPCR', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2019,"(Soltani et al., 2019)"
Cutaneous leishmaniasis: an epidemiological study in southwest of Iran, Iran , NA ,NA,2005,"(Sosa-Gomez et al., 2005)"
"Trypanosomatid prevalence in Nezara viridula (L.), Euschistus heros (Fabricius) and Piezodorus guildinii (Westwood) (Heteroptera : Pentatomidae) Populations in Northern Parana, Brazil", Brazil , microscope ,Trypanosoma,2011,"(Sousa et al., 2011)"
Seroepidemiological survey of Leishmania infantum infection in dogs from northeastern Portugal, Portugal ," direct agglutination test', 'DAT', 'enzyme-linked immunosorbent assay', 'ELISA "," Leishmania infantum', 'Leishmania ",2019,"(Sousa et al., 2019)"
Canine visceral leishmaniasis in riverside communities of the Cuiaba river watershed, Brazil ," ELISA', 'IFAT', 'IFA "," L. infantum', 'Leishmania ",2008,"(Souza, 2008)"
"CLINICAL STUDY OF NATURAL INFECTION BY Trypanosoma cruzi IN DOGS RESIDING IN A RURAL AREA IN MATO GROSSO DO SUL STATE, BRAZIL", Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'IFAT', 'MAT', 'IFA "," T. cruzi', 'Trypanosoma ",2009,"(Souza et al., 2009)"
"Seroprevalence of infection by Trypanosoma cruzi in dogs in a rural area of Mato Grosso do Sul, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'ELISA "," T. cruzi', 'Trypanosoma ",2013,"(Sow et al., 2013)"
"Baseline survey of animal trypanosomosis in the region of the Boucle du Mouhoun, Burkina Faso", Burkina Faso , NA ," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma ",2012,"(Sow et al., 2012)"
Field detection of resistance to isometamidium chloride and diminazene aceturate in Trypanosoma vivax from the region of the Boucle du Mouhoun in Burkina Faso, Burkina Faso , NA ," Trypanosoma congolense', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2016,"(Spada et al., 2016)"
Prevalence of Leishmania infantum and co-infections in stray cats in northern Italy, Italy ," enzyme-linked immunosorbent assay', 'indirect fluorescent antibody test', 'IFAT', 'IFA', 'polymerase chain reaction "," Leishmania infantum', 'L. infantum', 'Leishmania ",2008,"(Specht, 2008)"
Prevalence of bovine trypanosomosis in Central Mozambique from 2002 to 2005, Mozambique , smears ," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",Na,"(Spodareva et al., Na)"
Diversity and evolution of anuran trypanosomes: insights from the study o European species, NA , microscopy ,Trypanosoma,2016,"(Stevanovic et al., 2016)"
Species-specific diagnostics of Apis mellifera trypanosomatids: A nine-year survey (2007-2015) for trypanosomatids and microsporidians in Serbian honey bees, Serbia , PCR ," Crithidia bombi', 'Crithidia mellificae', 'Lotmaria passim', 'L. passim', 'C. mellificae ",2017,"(Suh et al., 2017)"
"Bovine trypanosomiasis in tsetse-free pastoral zone of the Far-North region, Cameroon", Cameroon , BCT ," Trypanosoma vivax', 'Trypanosoma ",2017,"(Sumbria et al., 2017)"
Comparative seroprevalence and risk factor analysis of Trypanosoma evansi infection in equines from different agro-climatic zones of Punjab (India), India ," enzyme-linked immunosorbent assay', 'ELISA', 'card agglutination test ', 'CATT "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2014,"(Sumbria et al., 2014)"
"Equine trypanosomosis in central and western Punjab: Prevalence, haemato-biochemical response and associated risk factors", India ," card agglutination test ', 'CATT', 'PCR "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2012,"(Sun et al., 2012)"
"Prevalence of canine leishmaniasis in Beichuan County, Sichuan, China and phylogenetic evidence for an undescribed Leishmania sp in China based on 7SL RNA", China ," ELISA', 'PCR ",Leishmania,2015,"(Svobodova et al., 2015)"
Trypanosomatids in ornithophilic bloodsucking Diptera, NA , microscopic ,Trypanosoma,2015,"(Svobodova et al., 2015)"
Trypanosomes and haemosporidia in the buzzard (Buteo buteo) and sparrowhawk (Accipiter nisus): factors affecting the prevalence of parasites, NA ," microscopic', 'smears ",Trypanosoma,Na,"(Szpeiter et al., Na)"
Bat trypanosomes from Tapajós-Arapiuns Extractive Reserve in Brazilian Amazon, Brazil , NA ,NA,2008,"(Tabar et al., 2008)"
Vector-borne infections in cats: Molecular study in Barcelona area (Spain), Spain , PCR ," Leishmania infantum', 'Leishmania ",2009,"(Tabar et al., 2009)"
"PCR survey of vectorborne pathogens in dogs living in and around Barcelona, an area endemic for leishmaniosis", NA , PCR ," Leishmania infantum', 'Leishmania ",2008,"(Tabar et al., 2008)"
Detection of Leishmania infantum by real-time PCR in a canine blood bank, Spain , PCR ," Leishmania infantum', 'Leishmania ",2010,"(Tadesse & Tsegaye, 2010)"
"Bovine trypanosomosis and its vectors in two districts of Bench Maji zone, South Western Ethiopia", Ethiopia , NA ," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2012,"(Tafese et al., 2012)"
"Prevalence of bovine trypanosomosis and its vectors in two districts of East Wollega Zone, Ethiopia", Ethiopia , buffy coat  ," Trypanosoma congolense', 'Trypanosoma vivax', 'bovine trypanosomosis', 'Trypanosomosis', 'bovine', 'Trypanosoma ",2018,"(Tagueu et al., 2018)"
